Summeringsnivå 1;Summeringsnivå 2;Summeringsnivå 3;Arbetsplatskod;Arbetsplatsens namn
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545150;FTV Åmål
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545250;FTV Bengtsfors
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545350;FTV Ed
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545450;FTV Mellerud
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545550;FTV Färgelanda
FTV Fyrbodal;Dalsland;Allmäntandvård;14151545650;FTV Högsäter
FTV Fyrbodal;Gemensamt;Gemensamt;14151541100;FTV gemensamt FyrBoDal
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545750;FTV Lilla Torget
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545751;FTV Dalaberg
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545752;FTV Ljungskile
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545760;FTV Lysekil
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545761;FTV Brastad
FTV Fyrbodal;Mitten Bohuslän;Allmäntandvård;14141545765;FTV Kungshamn
FTV Fyrbodal;Norra Bohuslän;Allmäntandvård;14141545770;FTV Munkedal
FTV Fyrbodal;Norra Bohuslän;Allmäntandvård;14141545771;FTV Dingle
FTV Fyrbodal;Norra Bohuslän;Allmäntandvård;14141545775;FTV Tanumshede
FTV Fyrbodal;Norra Bohuslän;Allmäntandvård;14141545776;FTV Hamburgsund
FTV Fyrbodal;Norra Bohuslän;Allmäntandvård;14141545780;FTV Strömstad
FTV Fyrbodal;Orust och Älvdalen;Allmäntandvård;14141545745;FTV Henån
FTV Fyrbodal;Orust och Älvdalen;Allmäntandvård;14141545746;FTV Svanesund
FTV Fyrbodal;Orust och Älvdalen;Allmäntandvård;14151544350;FTV Lilla Edet
FTV Fyrbodal;Orust och Älvdalen;Allmäntandvård;14151544360;FTV Lödöse
FTV Fyrbodal;Specialisttandvården;Ortodonti Specialisttandvården;14141543753;Ortodonti Specialistcentrum Uddeval
FTV Fyrbodal;Specialisttandvården;Ortodonti Specialisttandvården;14151543703;FTV Ortodonti Vbg
FTV Fyrbodal;Specialisttandvården;Ortodonti Specialisttandvården;14151543705;FTV Ortodonti Thn
FTV Fyrbodal;Specialisttandvården;Parod Specialisttandvården;14141543754;Parodontologi Specialistcentrum Udd
FTV Fyrbodal;Specialisttandvården;Pedodonti Specialisttandvården;14141543751;Pedodonti Specialistcentrum Uddeval
FTV Fyrbodal;Specialisttandvården;Protetik Specialisttandvården;14141543752;Protetik Specialistcentrum Uddevall
FTV Fyrbodal;Specialisttandvården;Sjukhustandvården Specialistta;14141543722;FTV Sjukhustandvård Ua
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544240;FTV Källstorp
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544250;FTV Dannebacken
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544260;FTV Djupebäck
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544270;FTV Kronogården
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544280;FTV Sylte
FTV Fyrbodal;Trollhättan;Allmäntandvård;14151544290;FTV Granngården
FTV Fyrbodal;Vänersborg;Allmäntandvård;14151544140;FTV Brålanda
FTV Fyrbodal;Vänersborg;Allmäntandvård;14151544150;FTV Belfragegatan
FTV Fyrbodal;Vänersborg;Allmäntandvård;14151544160;FTV Torpa
FTV Fyrbodal;Vänersborg;Allmäntandvård;14151544170;FTV Vargön
FTV Skaraborg;Spec. tandvård;Barn- o ungdomstandv;14161606181;Barntandvård Skövde
FTV Skaraborg;Spec. tandvård;Oral protetik;14161605181;Oral Protetik Skövde
FTV Skaraborg;Spec. tandvård;Parodontologi;14161604181;Parodontologi Skövde
FTV Skaraborg;Spec. tandvård;Sjukhustandvård;14161607181;Sjukhustandvården - Skaraborg
FTV Skaraborg;Spec. tandvård;Tandreglering Falköping;14161600181;Tandreglering Falköping
FTV Skaraborg;Spec. tandvård;Tandreglering Lidköping;14161601181;Tandreglering Lidköping
FTV Skaraborg;Spec. tandvård;Tandreglering Skövde;14161603181;Tandreglering Skövde
FTV Skaraborg;Stödkod;Distriktsläkar-/distriktssköte;14169000002;Stödkod, Offentlig primärvårdsläkar
FTV Skaraborg;Stödkod;Distriktsläkar-/distriktssköte;14169000003;Stödkod, Distriktssköterskevård
FTV Skaraborg;TVO Falköping;Floby;14161392180;FTV Floby
FTV Skaraborg;TVO Falköping;Götene;14161535180;FTV Götene
FTV Skaraborg;TVO Falköping;Källby;14161537180;FTV Källby
FTV Skaraborg;TVO Falköping;Mösseberg;14161391180;FTV Mösseberg Falköping
FTV Skaraborg;TVO Falköping;S:t Olof;14161390180;FTV St Olof Falköping
FTV Skaraborg;TVO Falköping;Skara;14161432180;FTV Skara
FTV Skaraborg;TVO Falköping;Stenstorp;14161393180;FTV Stenstorp Falköping
FTV Skaraborg;TVO Lidköping;Grästorp;14161436180;FTV Grästorp
FTV Skaraborg;TVO Lidköping;Kvänum;14161434180;FTV Kvänum
FTV Skaraborg;TVO Lidköping;Margretelund;14161534180;FTV Magasinsgatan Lidköping
FTV Skaraborg;TVO Lidköping;Nossebro;14161435180;FTV Nossebro
FTV Skaraborg;TVO Lidköping;Rörstrand;14161532180;FTV Rörstrand Lidköping
FTV Skaraborg;TVO Lidköping;Vara;14161433180;FTV Vara
FTV Skaraborg;TVO Mariestad;Bråten;14161065180;FTV Bråten Mariestad
FTV Skaraborg;TVO Mariestad;Carlbecksgården;14161063180;FTV Carlbecksg Mariestad
FTV Skaraborg;TVO Mariestad;Gullspång;14161061180;FTV Gullspång
FTV Skaraborg;TVO Mariestad;Hova;14161062180;FTV Hova
FTV Skaraborg;TVO Mariestad;Karlsborg;14161191180;FTV Karlsborg
FTV Skaraborg;TVO Mariestad;Sjukhuset Mariestad;14161064180;FTV Sjukhuset Mariestad
FTV Skaraborg;TVO Mariestad;Töreboda;14161066180;FTV Töreboda
FTV Skaraborg;TVO Skövde;Billingen;14161255180;FTV Billingen Skövde
FTV Skaraborg;TVO Skövde;City;14161251180;FTV City Skövde
FTV Skaraborg;TVO Skövde;Hjo;14161190180;FTV Hjo
FTV Skaraborg;TVO Skövde;Skultorp;14161253180;FTV Skultorp Skövde
FTV Skaraborg;TVO Skövde;Stöpen;14161254180;FTV Stöpen Skövde
FTV Skaraborg;TVO Skövde;Södra Ryd;14161252180;FTV Ryd Skövde
FTV Skaraborg;TVO Skövde;Tibro;14161192180;FTV Tibro
FTV Skaraborg;TVO Skövde;Tidaholm;14161193180;FTV Tidaholm
FTV Södra Bohuslän;FTV;FTV;1414275700;Folktandvården Södra Bohuslän
FTV Södra Älvsborg;Borås och Bollebygd;Boda;141515556950;Folktandvården Boda
FTV Södra Älvsborg;Borås och Bollebygd;Bollebygd;141515556650;Folktandvården Bollebygd
FTV Södra Älvsborg;Borås och Bollebygd;Dalsjöfors;141515556850;Folktandvården Dalsjöfors
FTV Södra Älvsborg;Borås och Bollebygd;Fristad;141515556550;Folktandvården Fristad
FTV Södra Älvsborg;Borås och Bollebygd;Sandared;141515557050;Folktandvården Sandared
FTV Södra Älvsborg;Borås och Bollebygd;Sjöbo;141515556350;Folktandvården Sjöbo
FTV Södra Älvsborg;Borås och Bollebygd;Södra Torget;141515556250;Folktandvården Södra Torget
FTV Södra Älvsborg;Borås och Bollebygd;Trandared;141515557150;Folktandvården Trandared
FTV Södra Älvsborg;Borås och Bollebygd;Tullen;141515556450;Folktandvården Tullen
FTV Södra Älvsborg;Borås och Bollebygd;Viskafors;141515556750;Folktandvården Viskafors
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Dalstorp;141515559550;Folktandvården Dalstorp
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Fritsla;141515558750;Folktandvården Fritsla
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Horred;141515559150;Folktandvården Horred
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Kinna;141515558850;Folktandvården Kinna
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Skene;141515558950;Folktandvården Skene
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Svenljunga;141515559250;Folktandvården Svenljunga
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Sätila;141515559050;Folktandvården Sätila
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Tranemo+Länghem;141515559450;Folktandvården Tranemo
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Tranemo+Länghem;141515559650;Folktandvården Länghem
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Ulricehamn;141515559750;Folktandvården Ulricehamn
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Överlida;141515559350;Folktandvården Överlida
FTV Södra Älvsborg;Mark-Ulricehamn-Svenljunga-Tra;Överlida;141515559351;Folktandvården i Östra Frölunda
FTV Södra Älvsborg;Mitten Älvsborg;Folktandvården;141515554150;Folktandvården Floda
FTV Södra Älvsborg;Mitten Älvsborg;Gråbo;141515554250;Folktandvården Gråbo
FTV Södra Älvsborg;Mitten Älvsborg;Herrljunga;141515555050;Folktandvården Herrljunga
FTV Södra Älvsborg;Mitten Älvsborg;Lerum;141515554050;Folktandvården Lerum
FTV Södra Älvsborg;Mitten Älvsborg;Noltorp;141515554350;Folktandvården Noltorp
FTV Södra Älvsborg;Mitten Älvsborg;Sörhaga;141515554450;Folktandvården Sörhaga
FTV Södra Älvsborg;Mitten Älvsborg;Vårgårda;141515554950;Folktandvården Vårgårda
FTV Södra Älvsborg;Specialisttandvården;Bettfysiologi;141515553080;Bettfysiologi
FTV Södra Älvsborg;Specialisttandvården;Ortodonti, Alingsås;141515553010;Ortodonti, Alingsås
FTV Södra Älvsborg;Specialisttandvården;Ortodonti, Borås;141515553020;Ortodonti, Borås
FTV Södra Älvsborg;Specialisttandvården;Parodonti,Endodonti, Käkkirurg;141515553030;Parodontologi
FTV Södra Älvsborg;Specialisttandvården;Parodonti,Endodonti, Käkkirurg;141515553060;Endodonti
FTV Södra Älvsborg;Specialisttandvården;Parodonti,Endodonti, Käkkirurg;141515553090;Käkkirurgiska kliniken
FTV Södra Älvsborg;Specialisttandvården;Pedodonti;141515553070;Pedodonti
FTV Södra Älvsborg;Specialisttandvården;Protetik;141515553040;Protetik
FTV Södra Älvsborg;Specialisttandvården;Sjukhustandvården, Alingsås;141515553050;Sjukhustandvården Alingsås
FTV Södra Älvsborg;Specialisttandvården;Sjukhustandvården, Borås;141515553055;Sjukshustandvården, Borås
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183119;Ljungkile, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183201;Orust, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183204;Lysekil, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183206;Kungshamn, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183209;Tanumshede-Hamburgsund, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14801183211;Strömstad, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14802170200;Gibraltar, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14802183301;Åmål, FVT
FTV VGR;HSN 21 Norra;Allmäntandvård;14802183302;Bengtsfors- Ed FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14802183303;Ed, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14802183304;Mellerud-Brålanda, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14802183305;Munkedal-Färgelanda, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183000;Uddevalla, Jourtandvård
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183102;Vänersborg, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183108;FTV Källstorp
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183109;Maria Albert, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183112;Granngården-Sylte
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183117;Uddevalla City - Ljungskile
FTV VGR;HSN 21 Norra;Allmäntandvård;14803183118;Dalaberg, FTV
FTV VGR;HSN 21 Norra;Allmäntandvård;14811120300;Kvillebäcken,  FTV
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282000;Sjukhustandvård Trollh/Uddev
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282001;Ortodonti Trollhättan
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282002;Ortodonti Trollhättan
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282003;Ortodonti SPC Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282004;Ortodontilab Thn-Vbg
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282005;Ortodontilab Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282013;Pedodonti SPC Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282023;Protetik SPC Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282033;Parodontologi SPC Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282043;Endodonti SPC Uddevalla
FTV VGR;HSN 21 Norra;Specialisttandvård;14803282053;Bettfysiologi SPC Uddevalla
FTV VGR;HSN 22 Västra;Allmäntandvård;14803183115;Lilla Edet, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175200;FTV Södra Bohuslän
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175355;Älvängen, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175365;Nödinge, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175375;Bohus, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175440;Stenungsund, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175720;Öckerö, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175725;Västra Gatan, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175726;Kristinedalsgatan, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175727;Ytterby-Kärna FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175728;Kärna, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175735;Skärhamn, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14804175741;Nösnäs, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14806166001;Lerum, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14806166005;Alingsås, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807166012;Hindås, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175401;TMS, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175402;Krokslätt, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175415;Partille, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175702;Lindome, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175703;Pedagogen Park, Mölndal  FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175704;Åby, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175710;Mölnlycke, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175711;Landvetter, FTV
FTV VGR;HSN 22 Västra;Allmäntandvård;14807175712;Hindås, FTV
FTV VGR;HSN 22 Västra;Specialisttandvård;14806267000;Ortodonti, Alingsås
FTV VGR;HSN 22 Västra;Specialisttandvård;14806267002;Ortodonti, Alingsås
FTV VGR;HSN 22 Västra;Specialisttandvård;14807271100;Radiologi Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275026;Parodontologi, Mölndals sjukhus
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275051;Ortodontilab, Mölndals sjukhus
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275060;Bettfysiologi, Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275061;Ortodonti Mölndal/Stenungsund
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275062;Endodonti Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275063;Pedodonti, Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275065;Sjukhustandvård Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275067;Protetik Mölndal
FTV VGR;HSN 22 Västra;Specialisttandvård;14807275068;Käkkirurgi Mölndal
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170200;Gibraltar, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170210;Guldheden, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170220;Askim, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170230;Frölunda Kulturhus, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170240;Hovås, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170250;Styrsö, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170260;Topas, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170270;Majorna, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170280;Järntorget, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170290;Akuttandvården, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170291;Högsboanstalten, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170292;Häktet, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805170293;Sagsjö, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805172060;Resurstandläkare, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14805172130;FTV Göteborg
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170000;Kärra, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170010;Lundby, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170020;Tuve, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170021;Skogome, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170030;Selma, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170040;Biskopsgården, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170060;Torslanda, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14811170070;Sannegården, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170100;Björkekärr, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170110;Olskroken, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170120;Kulan, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170130;Kortedala, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170140;Angered, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170150;Hjällbo, FTV
FTV VGR;HSN 23 Göteborg;Allmäntandvård;14812170160;Bergsjön, FTV
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14804271020;Sjukhustandvård Kungälv
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271000;Brånemarkkliniken
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271010;Oral medicin Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271020;Oral medicin/ÖS Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271030;Parodontologi Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271040;Pedodonti Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271041;Utbildningskliniken Barn
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271045;Specialistkliniken för pedodonti SU
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271050;Endodonti Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271060;Utbildningskliniken Vuxen
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271070;Orofacial smärta Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271080;Käkkirurgi Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271090;Ortodonti Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805271100;Radiologi Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805275806;Mun H Center Göteborg
FTV VGR;HSN 23 Göteborg;Specialisttandvård;14805287200;Käkkirurgiska Jouren Göteborg
FTV VGR;HSN 24 Södra;Allmäntandvård;14806166002;Floda, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14806166003;Gråbo, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14806166006;Vårgårda, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14806166007;Herrljunga, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166008;Södra Torget, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166009;Södra Torget,  FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166010;Borås Centrum - Sandared FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166011;Fristad, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166012;Bollebygd, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166013;Viskafors, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166014;Dalsjöfors, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166015;Boda, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166016;Sandared, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166017;Tranemo, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166018;Ulricehamn, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166019;Tranemo, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166020;Överlida, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166021;Svenljunga- Hillared- Överlida FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166022;Hillared,  FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166023;Överlida, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166024;Östra Frölunda, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166025;Fritsla, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166026;Kinna FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166028;Skene, FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166029;Sätila. FTV
FTV VGR;HSN 24 Södra;Allmäntandvård;14808166030;Horred, FTV
FTV VGR;HSN 24 Södra;Specialisttandvård;14806267001;Ortodontilab Alingsås
